classifier,clf__C,clf__C__support_pct,clf__l1_ratio,clf__l1_ratio__support_pct,clf__var_smoothing,clf__var_smoothing__support_pct,clf__n_neighbors,clf__n_neighbors__support_pct,clf__weights,clf__weights__support_pct,clf__gamma,clf__gamma__support_pct,rfe__estimator__C,rfe__estimator__C__support_pct,rfe__n_features_to_select,rfe__n_features_to_select__support_pct
ElasticNet,0.1,59.3,0.1,44.4,,,,,,,,,,,,
GaussianNB,,,,,1e-11,100.0,,,,,,,,,,
kNN,,,,,,,11,29.6,uniform,77.8,,,,,,
mSVM-Linear,0.1,59.3,,,,,,,,,,,,,,
mSVM-RBF,10,51.9,,,,,,,,,0.01,37.0,,,,
mSVM-RFE,,,,,,,,,,,,,1,44.4,8,40.7
