classifier,clf__C,clf__C__support_pct,clf__l1_ratio,clf__l1_ratio__support_pct,clf__var_smoothing,clf__var_smoothing__support_pct,clf__n_neighbors,clf__n_neighbors__support_pct,clf__weights,clf__weights__support_pct,clf__gamma,clf__gamma__support_pct,rfe__estimator__C,rfe__estimator__C__support_pct,rfe__n_features_to_select,rfe__n_features_to_select__support_pct
ElasticNet,0.1,55.6,0.1,70.4,,,,,,,,,,,,
GaussianNB,,,,,1e-11,100.0,,,,,,,,,,
kNN,,,,,,,5,40.7,uniform,59.3,,,,,,
mSVM-Linear,0.1,48.1,,,,,,,,,,,,,,
mSVM-RBF,1,70.4,,,,,,,,,0.1,63.0,,,,
mSVM-RFE,,,,,,,,,,,,,0.1,96.3,2,96.3
