classifier,clf__C,clf__C__support_pct,clf__l1_ratio,clf__l1_ratio__support_pct,clf__var_smoothing,clf__var_smoothing__support_pct,clf__n_neighbors,clf__n_neighbors__support_pct,clf__weights,clf__weights__support_pct,clf__gamma,clf__gamma__support_pct,rfe__estimator__C,rfe__estimator__C__support_pct,rfe__n_features_to_select,rfe__n_features_to_select__support_pct
ElasticNet,0.1,40.7,0.1,55.6,,,,,,,,,,,,
GaussianNB,,,,,1e-11,100.0,,,,,,,,,,
kNN,,,,,,,3,55.6,uniform,55.6,,,,,,
mSVM-Linear,0.1,55.6,,,,,,,,,,,,,,
mSVM-RBF,10,51.9,,,,,,,,,scale,48.1,,,,
mSVM-RFE,,,,,,,,,,,,,1,51.9,5,40.7
