classifier,clf__C,clf__C__support_pct,clf__l1_ratio,clf__l1_ratio__support_pct,clf__var_smoothing,clf__var_smoothing__support_pct,clf__n_neighbors,clf__n_neighbors__support_pct,clf__weights,clf__weights__support_pct,clf__gamma,clf__gamma__support_pct,clf__estimator__C,clf__estimator__C__support_pct,clf__n_features_to_select,clf__n_features_to_select__support_pct
ElasticNet,0.1,40.7,0.1,51.9,,,,,,,,,,,,
GaussianNB,,,,,1e-11,100.0,,,,,,,,,,
kNN,,,,,,,3,44.4,uniform,85.2,,,,,,
mSVM-Linear,0.1,40.7,,,,,,,,,,,,,,
mSVM-RBF,1,51.9,,,,,,,,,0.01,44.4,,,,
mSVM-RFE,,,,,,,,,,,,,1,37.0,15,29.6
