classifier,clf__C,clf__C__support_pct,clf__l1_ratio,clf__l1_ratio__support_pct,clf__var_smoothing,clf__var_smoothing__support_pct,clf__n_neighbors,clf__n_neighbors__support_pct,clf__weights,clf__weights__support_pct,clf__gamma,clf__gamma__support_pct,clf__estimator__C,clf__estimator__C__support_pct,clf__n_features_to_select,clf__n_features_to_select__support_pct
ElasticNet,1,59.3,0.1,70.4,,,,,,,,,,,,
GaussianNB,,,,,1e-11,100.0,,,,,,,,,,
kNN,,,,,,,3,51.9,uniform,66.7,,,,,,
mSVM-Linear,1,63.0,,,,,,,,,,,,,,
mSVM-RBF,1,85.2,,,,,,,,,1.0,51.9,,,,
mSVM-RFE,,,,,,,,,,,,,1,66.7,3,33.3
