classifier,clf__C,clf__C__support_pct,clf__l1_ratio,clf__l1_ratio__support_pct,clf__var_smoothing,clf__var_smoothing__support_pct,clf__n_neighbors,clf__n_neighbors__support_pct,clf__weights,clf__weights__support_pct,clf__gamma,clf__gamma__support_pct,clf__estimator__C,clf__estimator__C__support_pct,clf__n_features_to_select,clf__n_features_to_select__support_pct
ElasticNet,0.1,48.1,0.1,51.9,,,,,,,,,,,,
GaussianNB,,,,,1e-11,100.0,,,,,,,,,,
kNN,,,,,,,11,33.3,uniform,70.4,,,,,,
mSVM-Linear,0.1,44.4,,,,,,,,,,,,,,
mSVM-RBF,1,70.4,,,,,,,,,scale,51.9,,,,
mSVM-RFE,,,,,,,,,,,,,0.1,48.1,5,48.1
