classifier,clf__C,clf__C__support_pct,clf__l1_ratio,clf__l1_ratio__support_pct,clf__var_smoothing,clf__var_smoothing__support_pct,clf__n_neighbors,clf__n_neighbors__support_pct,clf__weights,clf__weights__support_pct,clf__gamma,clf__gamma__support_pct,clf__estimator__C,clf__estimator__C__support_pct,clf__n_features_to_select,clf__n_features_to_select__support_pct
ElasticNet,1,59.3,0.1,40.7,,,,,,,,,,,,
GaussianNB,,,,,1e-11,100.0,,,,,,,,,,
kNN,,,,,,,11,25.9,uniform,88.9,,,,,,
mSVM-Linear,1,40.7,,,,,,,,,,,,,,
mSVM-RBF,10,63.0,,,,,,,,,0.01,63.0,,,,
mSVM-RFE,,,,,,,,,,,,,10,44.4,5,51.9
