classifier,subset_kind,n_genes,genes
mSVM-RBF,full panel (10 genes),10,ENSG00000054267.21|ARID4B|protein_coding;ENSG00000047410.13|TPR|protein_coding;ENSG00000067334.13|DNTTIP2|protein_coding;ENSG00000086061.15|DNAJA1|protein_coding;ENSG00000113811.10|SELENOK|protein_coding;ENSG00000105821.14|DNAJC2|protein_coding;ENSG00000108953.16|YWHAE|protein_coding;ENSG00000110047.17|EHD1|protein_coding;ENSG00000115816.14|CEBPZ|protein_coding;ENSG00000172113.8|NME6|protein_coding
mSVM-Linear,full panel (10 genes),10,ENSG00000054267.21|ARID4B|protein_coding;ENSG00000047410.13|TPR|protein_coding;ENSG00000067334.13|DNTTIP2|protein_coding;ENSG00000086061.15|DNAJA1|protein_coding;ENSG00000113811.10|SELENOK|protein_coding;ENSG00000105821.14|DNAJC2|protein_coding;ENSG00000108953.16|YWHAE|protein_coding;ENSG00000110047.17|EHD1|protein_coding;ENSG00000115816.14|CEBPZ|protein_coding;ENSG00000172113.8|NME6|protein_coding
mSVM-RFE,tailored (7 >= 80.0%),7,ENSG00000172113.8|NME6|protein_coding;ENSG00000105821.14|DNAJC2|protein_coding;ENSG00000108953.16|YWHAE|protein_coding;ENSG00000115816.14|CEBPZ|protein_coding;ENSG00000067334.13|DNTTIP2|protein_coding;ENSG00000047410.13|TPR|protein_coding;ENSG00000110047.17|EHD1|protein_coding
kNN,full panel (10 genes),10,ENSG00000054267.21|ARID4B|protein_coding;ENSG00000047410.13|TPR|protein_coding;ENSG00000067334.13|DNTTIP2|protein_coding;ENSG00000086061.15|DNAJA1|protein_coding;ENSG00000113811.10|SELENOK|protein_coding;ENSG00000105821.14|DNAJC2|protein_coding;ENSG00000108953.16|YWHAE|protein_coding;ENSG00000110047.17|EHD1|protein_coding;ENSG00000115816.14|CEBPZ|protein_coding;ENSG00000172113.8|NME6|protein_coding
GaussianNB,full panel (10 genes),10,ENSG00000054267.21|ARID4B|protein_coding;ENSG00000047410.13|TPR|protein_coding;ENSG00000067334.13|DNTTIP2|protein_coding;ENSG00000086061.15|DNAJA1|protein_coding;ENSG00000113811.10|SELENOK|protein_coding;ENSG00000105821.14|DNAJC2|protein_coding;ENSG00000108953.16|YWHAE|protein_coding;ENSG00000110047.17|EHD1|protein_coding;ENSG00000115816.14|CEBPZ|protein_coding;ENSG00000172113.8|NME6|protein_coding
ElasticNet,tailored (7 >= 80.0%),7,ENSG00000086061.15|DNAJA1|protein_coding;ENSG00000110047.17|EHD1|protein_coding;ENSG00000172113.8|NME6|protein_coding;ENSG00000115816.14|CEBPZ|protein_coding;ENSG00000067334.13|DNTTIP2|protein_coding;ENSG00000105821.14|DNAJC2|protein_coding;ENSG00000047410.13|TPR|protein_coding
