classifier,subset_kind,n_genes,genes
mSVM-RBF,full panel (25 genes),25,ENSG00000110203.8|FOLR3|protein_coding;ENSG00000118960.12|HS1BP3|protein_coding;ENSG00000007944.14|MYLIP|protein_coding;ENSG00000228784.7|LINC00954|lincRNA;ENSG00000163472.18|TMEM79|protein_coding;ENSG00000134184.12|GSTM1|protein_coding;ENSG00000273319.1|AC058791.1|lincRNA;ENSG00000126903.15|SLC10A3|protein_coding;ENSG00000100311.16|PDGFB|protein_coding;ENSG00000151553.14|FAM160B1|protein_coding;ENSG00000237541.3|HLA-DQA2|protein_coding;ENSG00000260630.6|SNAI3-AS1|antisense_RNA;ENSG00000174684.6|B4GAT1|protein_coding;ENSG00000166341.7|DCHS1|protein_coding;ENSG00000106330.11|MOSPD3|protein_coding;ENSG00000101220.17|C20orf27|protein_coding;ENSG00000067048.16|DDX3Y|protein_coding;ENSG00000221988.12|PPT2|protein_coding;ENSG00000164896.19|FASTK|protein_coding;ENSG00000154930.14|ACSS1|protein_coding;ENSG00000085185.15|BCORL1|protein_coding;ENSG00000132004.12|FBXW9|protein_coding;ENSG00000112576.12|CCND3|protein_coding;ENSG00000088888.17|MAVS|protein_coding;ENSG00000130844.16|ZNF331|protein_coding
mSVM-Linear,full panel (25 genes),25,ENSG00000110203.8|FOLR3|protein_coding;ENSG00000118960.12|HS1BP3|protein_coding;ENSG00000007944.14|MYLIP|protein_coding;ENSG00000228784.7|LINC00954|lincRNA;ENSG00000163472.18|TMEM79|protein_coding;ENSG00000134184.12|GSTM1|protein_coding;ENSG00000273319.1|AC058791.1|lincRNA;ENSG00000126903.15|SLC10A3|protein_coding;ENSG00000100311.16|PDGFB|protein_coding;ENSG00000151553.14|FAM160B1|protein_coding;ENSG00000237541.3|HLA-DQA2|protein_coding;ENSG00000260630.6|SNAI3-AS1|antisense_RNA;ENSG00000174684.6|B4GAT1|protein_coding;ENSG00000166341.7|DCHS1|protein_coding;ENSG00000106330.11|MOSPD3|protein_coding;ENSG00000101220.17|C20orf27|protein_coding;ENSG00000067048.16|DDX3Y|protein_coding;ENSG00000221988.12|PPT2|protein_coding;ENSG00000164896.19|FASTK|protein_coding;ENSG00000154930.14|ACSS1|protein_coding;ENSG00000085185.15|BCORL1|protein_coding;ENSG00000132004.12|FBXW9|protein_coding;ENSG00000112576.12|CCND3|protein_coding;ENSG00000088888.17|MAVS|protein_coding;ENSG00000130844.16|ZNF331|protein_coding
mSVM-RFE,tailored (8 >= 60.0%),8,ENSG00000067048.16|DDX3Y|protein_coding;ENSG00000237541.3|HLA-DQA2|protein_coding;ENSG00000088888.17|MAVS|protein_coding;ENSG00000151553.14|FAM160B1|protein_coding;ENSG00000163472.18|TMEM79|protein_coding;ENSG00000228784.7|LINC00954|lincRNA;ENSG00000118960.12|HS1BP3|protein_coding;ENSG00000164896.19|FASTK|protein_coding
kNN,full panel (25 genes),25,ENSG00000110203.8|FOLR3|protein_coding;ENSG00000118960.12|HS1BP3|protein_coding;ENSG00000007944.14|MYLIP|protein_coding;ENSG00000228784.7|LINC00954|lincRNA;ENSG00000163472.18|TMEM79|protein_coding;ENSG00000134184.12|GSTM1|protein_coding;ENSG00000273319.1|AC058791.1|lincRNA;ENSG00000126903.15|SLC10A3|protein_coding;ENSG00000100311.16|PDGFB|protein_coding;ENSG00000151553.14|FAM160B1|protein_coding;ENSG00000237541.3|HLA-DQA2|protein_coding;ENSG00000260630.6|SNAI3-AS1|antisense_RNA;ENSG00000174684.6|B4GAT1|protein_coding;ENSG00000166341.7|DCHS1|protein_coding;ENSG00000106330.11|MOSPD3|protein_coding;ENSG00000101220.17|C20orf27|protein_coding;ENSG00000067048.16|DDX3Y|protein_coding;ENSG00000221988.12|PPT2|protein_coding;ENSG00000164896.19|FASTK|protein_coding;ENSG00000154930.14|ACSS1|protein_coding;ENSG00000085185.15|BCORL1|protein_coding;ENSG00000132004.12|FBXW9|protein_coding;ENSG00000112576.12|CCND3|protein_coding;ENSG00000088888.17|MAVS|protein_coding;ENSG00000130844.16|ZNF331|protein_coding
GaussianNB,full panel (25 genes),25,ENSG00000110203.8|FOLR3|protein_coding;ENSG00000118960.12|HS1BP3|protein_coding;ENSG00000007944.14|MYLIP|protein_coding;ENSG00000228784.7|LINC00954|lincRNA;ENSG00000163472.18|TMEM79|protein_coding;ENSG00000134184.12|GSTM1|protein_coding;ENSG00000273319.1|AC058791.1|lincRNA;ENSG00000126903.15|SLC10A3|protein_coding;ENSG00000100311.16|PDGFB|protein_coding;ENSG00000151553.14|FAM160B1|protein_coding;ENSG00000237541.3|HLA-DQA2|protein_coding;ENSG00000260630.6|SNAI3-AS1|antisense_RNA;ENSG00000174684.6|B4GAT1|protein_coding;ENSG00000166341.7|DCHS1|protein_coding;ENSG00000106330.11|MOSPD3|protein_coding;ENSG00000101220.17|C20orf27|protein_coding;ENSG00000067048.16|DDX3Y|protein_coding;ENSG00000221988.12|PPT2|protein_coding;ENSG00000164896.19|FASTK|protein_coding;ENSG00000154930.14|ACSS1|protein_coding;ENSG00000085185.15|BCORL1|protein_coding;ENSG00000132004.12|FBXW9|protein_coding;ENSG00000112576.12|CCND3|protein_coding;ENSG00000088888.17|MAVS|protein_coding;ENSG00000130844.16|ZNF331|protein_coding
ElasticNet,tailored (9 >= 60.0%),9,ENSG00000237541.3|HLA-DQA2|protein_coding;ENSG00000067048.16|DDX3Y|protein_coding;ENSG00000088888.17|MAVS|protein_coding;ENSG00000260630.6|SNAI3-AS1|antisense_RNA;ENSG00000118960.12|HS1BP3|protein_coding;ENSG00000110203.8|FOLR3|protein_coding;ENSG00000228784.7|LINC00954|lincRNA;ENSG00000163472.18|TMEM79|protein_coding;ENSG00000154930.14|ACSS1|protein_coding
